title,author,publisher,year,status,description,jury_rationale
Wie der Soldat das Grammofon repariert,Saša Stanišić,Luchterhand Literaturverlag,2006,Shortlist,"Als der Bürgerkrieg in den neunziger Jahren Bosnien heimsucht, flieht Aleksandar mit seinen Eltern in den Westen. Neugierig erobert er sich das fremde Deutschland und fabuliert sich mit den irrwitzigen Geschichten von damals, von der großen Familie und den kuriosen Begebenheiten die Angst weg und ""die Zeit, als alles gut war"" wieder herbei. Ein tragikomischer Roman über Heimat und Fremde und die Kraft des Erzählens.","Saša Stanišić ist ein wunderbarer Debütant. Mit „Wie der Soldat das Grammofon repariert“ hat er eine Geschichte geschrieben, die von Bosnien und Deutschland und Bosniern in Deutschland handelt. In dem Roman über Heimat, Familie und Verlust und die Macht des Erzählens ist dabei – wie in den Filmen von Emir Kusturica - alles möglich."
Woraus wir gemacht sind,Thomas Hettche,Kiepenheuer & Witsch,2006,Shortlist,"Niklas Kalf schreibt eine Biografie über den jüdischen Emigranten Eugen Meerkaz und reist 2002 mit seiner Frau Liz nach New York. Kurz nach der Ankunft wird Liz entführt, und man erpresst Kalf, ein Geheimnis über Meerkaz aufzudecken. Kalfs Suche nach der Wahrheit wird zur Reise ins Innere der USA kurz vor dem Irak-Krieg. Zugleich beginnt Kalf in der Fremde zu begreifen, was bleibt, wenn nichts mehr sicher ist.","Ein Autor verliert sich ein einem Entführungsfall – und in den Abgründen der USA. Hettche spielt dabei mit verschiedenen literarischen Motiven: dem amerikanischen Thriller, dem typisch-deutschen passiven Held. Sein Roman über das Verhältnis zwischen Amerika und dem „alten Europa“ wird sicher viele Leser aufregen, da in ihm das Verhältnis von deutscher Intellektualität und amerikanischer Wirklichkeit neu gespiegelt und gesehen wird."
Die Mittagsfrau,Julia Franck,S. Fischer Verlag,2007,Winner,"Als Helenes Vater tödlich verletzt aus dem Ersten Weltkrieg heimkehrt, verliert ihre jüdische Mutter darüber den Verstand. Helene zieht nach Berlin, und lernt Carl kennen. Als der kurz vor ihrer Verlobung stirbt, verliert das Leben für Helene allen Sinn. Sie heiratet Wilhelm, und schenkt ihm einen Sohn. Als die Liebe, die der Junge fordert, Helene unerträglich wird, trifft sie eine ungeheuerliche Entscheidung.","„Die Mittagsfrau“ erzählt eine dramatische Geschichte zwischen zwei Weltkriegen und darüber hinaus, die getragen wird von mitnehmenden Frauenfiguren, deren Leben zwischen Hoffnung, Liebe und Verlusten nicht glücken kann. Mit sinnlich-feinfühliger Erzählkunst entwirft Julia Franck das Porträt einer jüdisch-deutschen Familie als traumatische Geschichte vom Verlassensein. Um die Hauptfiguren entsteht dabei ein intensives, dramaturgisch glänzend gestaltetes Zeitpanorama."
Abendland,Michael Köhlmeier,Carl Hanser Verlag,2007,Shortlist,"Der Weltbürger Carl Jacob Candoris, legt mit fünfundneunzig Jahren seine Lebensbeichte ab. Sebastian Lukasser, selbst schon über fünfzig, ist Schriftsteller und mit der Aufzeichnung betraut. Er vermischt die Geschichten von seiner und Candoris’ Familie zum Panorama eines ganzen Jahrhunderts. Der Roman erzählt von persönlichen und politischen Hoffnungen, von Kunst und Leben, von Geist und Ungeist einer Epoche.","Ein uralter Mathematiker, den Tod vor Augen, und ein Schriftsteller in mittleren Jahren, der den vorzeitigen Tod gerade überlebt hat: Aus dieser Konstellation erzählt Michael Köhlmeier die Geschichte eines Jahrhunderts. Eine Vielzahl plastischer Nebenfiguren und eine überwältigende Fülle historischer Fakten und kluger Fiktionen zeichnen einen Roman aus, der 800 Seiten kurzweiliger Lektüre bietet."
Böse Schafe,Katja Lange-Müller,Kiepenheuer & Witsch,2007,Shortlist,"Seit ihrer Flucht aus der DDR lebt Soja in Westberlin. Eines Tages läuft ihr Harry über den Weg und wird sofort zur Achse, um die sich ihr Leben dreht. Harry war im Knast und ist auf Bewährung draußen. Seine Drogentherapie hat er abgebrochen, eine neue Inhaftierung droht. Soja organisiert eine Therapiestelle, verpflichtet ihre Freunde zur Betreuung und ignoriert alle Zeichen, dass Harry ihr manches verschweigt.","„Böse Schafe“ bietet die traurig-komische Geschichte einer amour fou zwischen einer Ostfrau und einem Westmann. Soja ist von Ostberlin nach Westberlin geflüchtet, Blumenverkäuferin. Der Westmann ist Harry aus Neukölln, Junkie, HIV-positiv. Er hat zehn Jahre Knast auf dem Buckel und eine „Palme“ zwischen den Beinen, die zu besteigen für Soja sehr reizvoll ist. Eine packende Liebes- und Leideserklärung, auch an die Hauptstadt."
Das bin doch ich,Thomas Glavinic,Carl Hanser Verlag,2007,Shortlist,"Ein Mann schreibt einen Roman. Der Mann heißt Thomas Glavinic, der Roman heißt „Die Arbeit der Nacht“ und der Mann will das, was alle wollen: Erfolg. Er will einen Verlag, einen Preis, Geld. Was er hat, ist ein Manuskript, eine Literaturagentin, Kopfschmerzen und leider zumeist unerträgliche Mitmenschen. Thomas Glavinic spielt ein Spiel mit der Wirklichkeit und ihrer Verdopplung – ein ungewöhnliches Lesevergnügen.","„Das bin doch ich“ ist ein Buch, das eigentlich schon darum unmöglich ist, weil es über den aktuellen Literaturbetrieb ohne jede Verfremdung durch Anonymisierung oder abgekürzte Namen lästert. Eine charmante, doch nie beleidigende Regelverletzung von der ersten bis zur letzten Seite, die durch ihre Direktheit, ihren ironischen Charme und einen besonderen sprachlichen Rhythmus für sich einnimmt."
Der Mond und das Mädchen,Martin Mosebach,Carl Hanser Verlag,2007,Shortlist,"Die frisch Vermählten, Hans und Ina, ziehen nach Frankfurt. Das Glück scheint perfekt, nur bei der Wahl der neuen Wohnung hat sich Hans vergriffen: Hinter dem Hauptbahnhof steht das Haus, in dessen Hof sich jede Nacht jener fatale Kreis um den marokkanischen Hausmeister zusammenfindet. Das geregelte Leben des jungen Paars stößt gleich nach der Hochzeit auf die multikulturelle Unordentlichkeit der heutigen Gegenwart.","Martin Mosebachs „Der Mond und das Mädchen“ ist die wunderbar skurrile Geschichte eines jungen Ehepaares in einem heißen Sommer in den Hinterhöfen Frankfurts. Und so plastisch hat man die Figuren dieses Frankfurter Sommernachtstraums vor Augen, dass man sich in einem Kinosessel wähnen könnte, wäre da nicht das außergewöhnliche Stilbewusstsein, das gerade das Lesen zu einem großen Vergnügen macht."
Wallner beginnt zu fliegen,Thomas von Steinaecker,Frankfurter Verlagsanstalt,2007,Shortlist,"Stefan Wallner fühlt sich von seinen Mitarbeitern hintergangen und ausgebootet. Doch was bei ihm nur im Kopf stattfindet, das erlebt sein Sohn Costin wirklich. Er wird als Popstar gecastet und scheitert. Als Wendy, Costins uneheliche Tochter, ihren Vater kennen lernt, bleibt den beiden nur noch wenig gemeinsame Zeit. Ein Roman über die Frage, ob man Familiengeschichte so erzählen kann, wie sie wirklich passiert ist.","Mit „Wallner beginnt zu fliegen“ zeichnet die Jury des Deutschen Buchpreises einen Drei-Generationen-Roman aus. Das klingt wie ein konventionelles Genre, trägt bei von Steinaecker aber alle Züge des Innovativen, indem er seine Familien-Geschichte nämlich leicht in die Zukunft versetzt. In den Zügen dieser nur sanft und subtil variierten Zukunft gewinnt unsere eigene Gegenwart ein umso prägnanteres Profil. Sciencefiction als soziologische Gegenwartsdiagnostik."
Der Turm,Uwe Tellkamp,Suhrkamp Verlag,2008,Winner,"Vom Dresdner Villenviertel aus verfolgen Anne und Richard den Niedergang eines Gesellschaftssystems. Sie gehören einer Schicht an, die im Sozialismus nicht vorgesehen ist: Sie sind Bildungsbürger. Das System verlangt jedoch Anpassung. Die Alternativen wären Ausreise oder Widerstand. Tellkamp entwirft ein episches Panorama der untergehenden DDR, in der Angehörige dreier Generationen die Revolution von 1989 zutreiben.","In einer Fülle von Szenen, Bildern, Sprachformen und Handlungsfäden entwirft Uwe Tellkamp mit „Der Turm“ das Panorama einer Gesellschaft, die ihrem Ende entgegen träumt. Anhand einer bürgerlichen Dresdner Familie erzählt er von Anpassung, Widerstand und Kompromissen unter einem ausgelaugten Regime. Dem Leser erschließen sich wie nie zuvor Aroma, Redeweisen und Mentalitäten der späten DDR."
Adam und Evelyn,Ingo Schulze,Berlin Verlag,2008,Shortlist,"Adam ist ein Mann, den die Frauen lieben. Und Adam liebt schöne Frauen. Ganz besonders wenn sie die von ihm geschneiderten Kleider tragen. Abgesehen davon liebt er Evelyn, die ihn eines Tages in flagranti mit einer anderen ertappt. Statt mit Adam fährt Evelyn mit Freunden im Spätsommer 1989 an den Balaton. Adam setzt ihnen in seinem alten Wartburg nach. Eine Tragikomödie um den biblischen Mythos von Adam und Eva.","Ingo Schulze hat einen komplizierten Moment der deutsch-deutschen Geschichte auf leichtfüßige Weise mit dem Adam und Eva-Mythos verbunden. Die Dialoge sind klar und direkt, scheinbar banal und doch tiefgründig, axiomatisch. Schulze vermittelt sensibel das ambivalente Gefühl der DDR-Bürger vor der Maueröffnung, sich für etwas entscheiden zu müssen, ohne den Ausgang der Geschichte zu ahnen."
Das dunkle Schiff,Sherko Fatah,Jung und Jung Verlag,2008,Shortlist,"Kerim, von Beruf Koch, macht sich aus dem irakischen Grenzland auf die beschwerliche und gefährliche Reise nach Europa. Er war unter Gotteskrieger geraten und mit ihnen durch das Land gezogen, bevor er sich entschied, vor ihrem Weg der Gewalt zu fliehen. Kerim versucht, in Deutschland ein neues Leben zu beginnen, und findet in dem fremden Land seine erste Liebe. Doch die Vergangenheit lässt sich nicht abschütteln.","Ein moderner Abenteuerroman, spannend und bestürzend, der zugleich fast enzyklopädisch durch alle aktuellen Konflikte von Orient und Okzident führt, die Lebensgeschichte eines jungen irakischen Kurden zwischen islamistischem Terror und dem Elend der Emigration, gläubigem Fanatismus und westlicher Gleichgültigkeit."
Die Abschaffung der Arten,Dietmar Dath,Suhrkamp Verlag,2008,Shortlist,"Das Zeitalter, das wir kennen, ist längst eingeschlafen. Im einstigen Europa gibt es nur noch drei riesige Städte. Die Welt gehört den Tieren, und wird vom Löwen Cyrus Golden gelenkt. Als große Gefahr droht, schickt er den Wolf Dmitri als Diplomaten aus, einen Verbündeten zu suchen. Die Reise führt den Wolf bis an den Rand seiner Welt, wo er erkennt, „warum den Menschen passiert ist, was ihnen passiert ist“.","Eine „florifaunische Zivilisation“ hat die Erde erobert und will es besser machen als die Menschen. Wunderbare Figuren, die sich nach Herzenslust verwandeln, bevölkern diesen großen spekulativen Roman. Neben intellektueller Herausforderung und bester Unterhaltung, bietet er dem Leser eine abenteuerliche Erkundungsreise: nach neuen Formen des Umgangs, die man endlich menschlich nennen könnte."
Nach Hause schwimmen,Rolf Lappert,Carl Hanser Verlag,2008,Shortlist,"Wilburs Mutter stirbt bei der Geburt, sein Vater macht sich aus dem Staub, und sein erstes Zuhause ist der Brutkasten. Erst als seine Großeltern ihn zu sich holen, erfährt er, was Heimat ist. Doch das Glück währt nicht lang: Sein bester Freund kommt in die Erziehungsanstalt, seine Großmutter stirbt bei einem Unfall. Doch die charmante Aimee will ihm beibringen, sein Glück da zu suchen, wo es offen vor ihm liegt.","Rolf Lapperts Roman „Nach Hause schwimmen“ ist wie ein breiter epischer Strom, der voran- und zurückfliesst, sich in viele Nebenflüsse verzweigt, diese wieder zusammenführt und dabei unendlich viele verrückte Personen und Geschichten mitführt. Sein Held, ein Nichtschwimmer, der des Lebens überdrüssig ist, weil es ihn allzu sehr gebeutelt hat, lernt dennoch beides: Schwimmen und Leben."
Treffen sich zwei,Iris Hanika,Droschl Literaturverlag,2008,Shortlist,"Man weiß nicht wann und man weiß nicht wo, aber eines ist gewiss – irgendwann schlägt die Liebe zu. Hier geschieht es zweien, die schon seit langer Zeit allein durchs Leben gehen, und es trifft sie wie aus heiterem Himmel: Er hat die wunderbarsten Augen der Welt, und sie ist so schön, dass er glaubt, er habe Halluzinationen. Doch dieser Zustand hält nur wenige Tage an. Ein Roman über das älteste Thema der Literatur.","Iris Hanika erzählt von Liebe in Milieus, die der Liebe nicht günstig sind – unter Singles um die 40 in der Großstadt der Gegenwart; es geht aber auch um die Sprachen der Liebe. Um die, die wir aus Serien und Songs oder aus unserem Alltagsslang kennen. Und um den hohen Ton aus klassischeren Zeiten. Daraus macht sie eine Komödie mit Widerhaken und einer Spannung, die nicht nur zum Lachen ist."
Du stirbst nicht,Kathrin Schmidt,Kiepenheuer & Witsch,2009,Winner,"Helene erwacht im Krankenhaus: ohne Kontrolle über ihren Körper, sprachlos, mit Erinnerungslücken. Ihr Weg zurück ins Leben konfrontiert sie mit einer fremden Frau, die doch sie selbst war. Kathrin Schmidt macht den Orientierungs- und Sprachverlust nach einer Hirnverletzung erfahrbar und zeigt einen Weg der Genesung, der in zwei Richtungen führt: zurück und nach vorn. Es entsteht ein Entwicklungsroman ganz eigener Art.","Du stirbst nicht“ ist ein sehr dichter Roman, der erzählt, wie jemand, der dem Tod ganz nah war, ins Leben zurück findet. Nicht mit einem großen Sprung, sondern langsam, Stück für Stück. Als Leser sind wir die ganze Zeit dabei und erleben, wie die Vergangenheit wieder auftaucht, wie sich ein Mensch, eine Identität, neu erfindet, wie eine Welt entsteht. Und das ist sehr eindrücklich."
Atemschaukel,Herta Müller,Carl Hanser Verlag,2009,Shortlist,"Rumänien am Ende des Krieges. In der Nacht des 15. Januar 1945 wird ein junger Mann in ein russisches Lager verschleppt. „ICH WEISS DU KOMMST WIEDER.“ Der Satz, den ihm seine Großmutter nachruft, hält ihn am Leben. Herta Müller erzählt vom Schicksal der deutschen Bevölkerung Siebenbürgens und vom Leben eines jungen Mannes in den Lagern Russlands. So wird ein unbekanntes Kapitel der europäischen Geschichte sichtbar.","Der Roman blättert ein vergessenes Kapitel europäischer Geschichte auf: Das der Rumänen-Deutschen in den Lagern der Sowjets. Es ist ein Buch über Menschen in unvorstellbar extremen Situationen, über den Hunger, die Not und den Tod, das auch sprachlich einen Grenzweg beschreitet und dabei zu einer ungeheueren, berührenden Eindringlichkeit findet. Ein Buch, das man sicher nicht vergisst."
Die Frequenzen,Clemens Setz,Residenz Verlag,2009,Shortlist,"Alexander und Walter sind Freunde aus Kindertagen, deren Wege sich wieder kreuzen. Valerie wird im Park zusammengeschlagen, Gabi wird von psychischen Problemen und einem Tinnitus in den Wahn getrieben. Alexanders Freundin Lydia, sprechende Dinge, explosive Gewalttäter und Valeries Hund: Clemens Setz präsentiert das Leben als Kettenreaktion. Ein Buch über Liebe und Wahnsinn – virtuos-verspielt, sprachmächtig und zart.","Die Frequenzen’ von Clemens Setz ist ein überaus zeitgemäßer Familienroman, in dem von vielen kaputten Familien die Rede ist, von verlassenen Söhnen, von Eltern, die sich trennen. Setz thematisiert Gewalt in ihren unterschiedlichsten Formen und erzählt zugleich auf virtuose Weise von der Geburt der Literatur aus der kindlichen Einbildungskraft."
Grenzgang,Stephan Thome,Suhrkamp Verlag,2009,Shortlist,"Alle sieben Jahre steht Bergenstadt kopf: Man feiert Grenzgang, ein dreitägiges Volksfest, und dabei werden nicht nur die Gemeindegrenzen abgeschritten. Es ist die Jagd nach dem Glück, die die Protagonisten aus Berlin und Köln in die hessische Provinz und von dort in einen Swinger-Club in Frankfurt führt. Schnell kommen vermeintliche Sicherheiten abhanden denn das Eis ist dünn, auf dem Lebensentwürfe errichtet wurden.","‚Grenzgang’, das ist der erste Roman eines jungen Wissenschaftlers, der sich mit seinem Debüt in die erste Reihe der deutschen Erzähler katapultiert. ‚Grenzgang’, das ist ein Fest in einem Kaff in Nordhessen, das nur alle sieben Jahre stattfindet, dann aber alle Grenzen sprengt. Die Menschen geraten außer Rand und Band, bis sie der Alltag wieder einfängt. Ein Heimatroman, der uns eine ganze Welt erschließt."
Lichtjahre entfernt,Rainer Merkel,S. Fischer Verlag,2009,Shortlist,"Der Familientherapeut Thomas muss sein Leben in Ordnung bringen. Auf einer Reise nach New York trifft er seine langjährige Freundin, doch die Beziehung ist am Ende. Auf dem Rückweg, in der U-Bahn zum Flughafen, verliert er sich in der Vergangenheit. In immer neuen Anläufen kreisen seine Gedanken um die dramatischen Ereignisse der letzten Monate, die – wie seine Liebe – Lichtjahre entfernt scheinen.","Fremd ist er ausgezogen, fremd kehrt er wieder heim. Merkel erzählt in der Ich-Form, staccato und stark verschachtelt, die Liebesgeschichte eines deutschen Psychologen in den USA, der von Brooklyn aufbricht, nach München will und unterwegs zum Flughafen all die Stationen des Mißlingens, der Verfehlens, der falschen Ansprüche memoriert, die das prekäre Verhältnis im Kern ausgemacht haben. Wundersam und wunderbar."
Überm Rauschen,Norbert Scheuer,C. H. Beck,2009,Shortlist,"Einst gingen der Vater und die Brüder gemeinsam fischen, das Rauschen des Wehrs hinter der Gaststätte, in der sie gelebt haben, hat die Kindheit der Brüder mit Phantasien belebt. Aber der Vater ist tot. Und der ältere Bruder ist dabei, den Verstand zu verlieren. Der jüngere Bruder kehrt zurück an den Ort der Kindheit, steht im Fluss, angelt und lässt das Leben des Bruders, sein eigenes, das der Familie Revue passieren.","Dieser Roman wächst ganz aus der Landschaft heraus, in der angesiedelt ist. Das Rauschen ist das eines Wehrs an einem Fluss in der Eifel. Die Hauptfiguren sind zwei Brüder, ein Untergeher und ein Heimkehrer, aber auch die Fische und das Wasser des Flusses. Ein konzentrierter, unheimlicher, dichter Roman, der nicht zuletzt wegen der eindringlichen Landschaftsbeschreibung auf die Shortlist gehört."
Tauben fliegen auf,Melinda Nadj Abonji,Jung und Jung Verlag,2010,Winner,"Zuhause ist die Familie Kocsis in der Schweiz, doch heimisch fühlt sie sich dort nicht. Der familiäre Ursprung liegt im Norden Serbiens, dort, wo die ungarische Minderheit lebt, zu der die Kocsis auch gehören. Ausgewandert sind sie schon vor etlichen Jahren. Zuerst der Vater und dann, sobald es erlaubt war, auch die Mutter mit den beiden Töchtern, Nomi und Ildiko. Anhand einer Familie und ihrer Geheimnisse verzahnt Melinda Nadj Abonji Historisches und Privates zu einer Geschichte über die ungarische Minderheit in der Vojvodina und über den Jugoslawien-Konflikt.","„Tauben fliegen auf“ ist die bewegende Geschichte einer Emigration aus dem ehemaligen Jugoslawien. Die Familia Kocsis, Teil der ungarischen Minderheit im Norden Serbiens, siedelt über in die Schweiz. Die Tochter Ildiko erzählt von der Schwierigkeit, in Zürich Fuß zu fassen. Von der alltäglichen Fremdenfeindlichkeit und von der Sehnsucht nach der Welt der Heimat, die durch den Balkankrieg endgültig verloren geht. Melinda Nadj Abonji schreibt in einem schönen, bildreichen, eigenwilligen Ton vom Erwachsenwerden und von der Suche nach einer eigenen Identität – ein Buch von poetischer Kraft."
